statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);218,021;jew. ME;STR006;Gütersteuern abzügl. Gütersubventionen;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);1977,509;jew. ME;BWS001;Bruttowertschöpfung;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);4,95;jew. ME;SUB003;Gütersubventionen;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);26933,0;jew. ME;BIP004;Bruttoinlandsprodukt je Einwohner;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);222,971;jew. ME;STR020;Gütersteuern;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);2195,53;jew. ME;VGR014;Bruttoinlandsprodukt;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);3,1;Prozent;BIP005;Bruttoinlandsprodukt (Veränderung in %);e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);300,179;jew. ME;STR006;Gütersteuern abzügl. Gütersubventionen;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);2499,101;jew. ME;BWS001;Bruttowertschöpfung;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);0,086;jew. ME;SUB003;Gütersubventionen;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);34823,0;jew. ME;BIP004;Bruttoinlandsprodukt je Einwohner;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);300,265;jew. ME;STR020;Gütersteuern;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);2799,28;jew. ME;VGR014;Bruttoinlandsprodukt;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);1,9;Prozent;BIP005;Bruttoinlandsprodukt (Veränderung in %);e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRPVU;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);-;jew. ME;STR006;Gütersteuern abzügl. Gütersubventionen;
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRPVU;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);2463,829;jew. ME;BWS001;Bruttowertschöpfung;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRPVU;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);-;jew. ME;SUB003;Gütersubventionen;
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRPVU;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);-;jew. ME;BIP004;Bruttoinlandsprodukt je Einwohner;
